Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6817481489b1c6f97005ba5d,5b1195106dc63000013eb638,APPROVED,Not Applicable,2025-05-04T11:00:08.363000Z,2025-05-04T11:30:08.524000Z,2025-05-05T09:33:00.790000Z,2025-05-04T11:30:09.033018Z,1801.0,CI33ZIL0,694,"English, Dutch",31,Male,Black,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
681749c85b39eab6fffcbad1,65be52c691f297e43ada7fbc,APPROVED,Not Applicable,2025-05-04T11:04:45.181000Z,2025-05-04T11:14:52.537000Z,2025-05-05T09:33:01.068000Z,2025-05-04T11:14:53.009111Z,608.0,CI33ZIL0,113,Dutch,30,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
681749ed2b9e86bbf7d18802,5fa97213c2ffcd11d7f91e40,APPROVED,Not Applicable,2025-05-04T11:05:22.097000Z,2025-05-04T11:16:09.107000Z,2025-05-05T09:33:01.315000Z,2025-05-04T11:16:09.593792Z,648.0,CI33ZIL0,628,"Chinese, Dutch, English",45,Female,Asian,Taiwan,Netherlands,Netherlands,Dutch,No,Full-Time
68174ab08e54e98e79bbf162,5cfd23397cb818001727695c,APPROVED,Not Applicable,2025-05-04T11:08:43.180000Z,2025-05-04T11:23:25.201000Z,2025-05-05T09:33:01.578000Z,2025-05-04T11:23:25.723234Z,883.0,CI33ZIL0,597,Dutch,29,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68174f286fbfad310eb3bdda,652a929f6bd615f1ab70bd46,APPROVED,Not Applicable,2025-05-04T11:27:42.430000Z,2025-05-04T11:41:08.364000Z,2025-05-05T09:33:01.818000Z,2025-05-04T11:41:08.807353Z,806.0,CI33ZIL0,96,Dutch,22,Female,White,Belgium,Belgium,Belgium,Dutch,Yes,Part-Time
68175364e3cf50767d295fcc,6634f4e7720ffe0b2cbe4a2e,APPROVED,Not Applicable,2025-05-04T11:45:45.966000Z,2025-05-04T12:18:28.902000Z,2025-05-05T09:33:02.068000Z,2025-05-04T12:18:29.416996Z,1963.0,CI33ZIL0,45,Dutch,43,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
68175e0f4d295b1fda615a14,65be51eae58552a0a8fc2ab6,APPROVED,Not Applicable,2025-05-04T12:31:11.225000Z,2025-05-04T12:51:09.241000Z,2025-05-05T09:33:02.353000Z,2025-05-04T12:51:09.947797Z,1199.0,CI33ZIL0,220,"Dutch, English",27,Female,White,Netherlands,Netherlands,Netherlands,Dutch,DATA_EXPIRED,DATA_EXPIRED
681885e80573f1eda292dd5f,66af7ed56686510c31dbaff2,APPROVED,Not Applicable,2025-05-05T09:33:33.645000Z,2025-05-05T09:45:32.647000Z,2025-05-05T12:20:01.692000Z,2025-05-05T09:45:33.131161Z,720.0,CI33ZIL0,377,Dutch,32,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
681885fd265e830f9996e815,654a7efd8b0a3b47bdddc8d6,REJECTED,Not Applicable,2025-05-05T09:33:52.413000Z,2025-05-05T09:40:10.191000Z,2025-05-05T12:09:37.973000Z,2025-05-06T13:30:43.876132Z,378.0,CI33ZIL0,492,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6818860a9e4224c596e7a987,654cebe7999b0f3681e1d916,APPROVED,Not Applicable,2025-05-05T09:34:06.104000Z,2025-05-05T09:48:35.508000Z,2025-05-05T12:20:02.269000Z,2025-05-05T09:48:36.030440Z,870.0,CI33ZIL0,655,Dutch,43,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,DATA_EXPIRED
